Numero Pedido Cliente;NF CF;Cliente;Vendedor;Emissao
1068448;197870;MINIMERCADO TONAKI;JOSE GOMES DOS S.;22/09/2026
1068447;197869;ELISSON DOS SANTOS;JOSE GOMES DOS S.;22/09/2026
1068417;197874;MERC LUCINDOS;FRANCISCO DUARTE - LUIZ DUARTE;22/09/2026
1068410;197873;MERC LUCINDOS;FRANCISCO DUARTE - LUIZ DUARTE;22/09/2026
1068210;197586;ALENCAR SILVA;JOSUE EVANGELISTA;22/09/2026
1068158;197868;ELISSON DOS SANTOS;JOSE GOMES DOS S.;22/09/2026
1068068;197835;SUPERMERCADO PRECITO;FLAVIA SIQUEIRA;22/09/2026
1068056;197830;ROLIM DE FREITAS & CIA;PAULO COSTA;22/09/2026
1068026;197843;APETITO - CARNES SAN PEDRO;FELIPE GOMES;22/09/2026
1067973;197853;BERGAMINI - EDU CHAVES;FELIPE GOMES;22/09/2026
1067966;197852;BERGAMINI - EDU CHAVES;FELIPE GOMES;22/09/2026
1067957;197664;BARBOSA - 40;RODOLFO QUERINO LUIZ - GERENTE DE AREA;22/09/2026
1067925;197540;HIROTA EXPRESS - CD 98;GILMERIO QUEIROZ - GERENTE DE AREA;22/09/2026
1067921;197536;HIROTA EXPRESS - CD 98;GILMERIO QUEIROZ - GERENTE DE AREA;22/09/2026
1067585;197661;CERCADAO - 01;ERICK MOREIRA;21/09/2026
1067563;197660;CERCADAO - 01;ERICK MOREIRA;21/09/2026
1067551;197871;KITY SUPERMERCADO;FRANCISCO DUARTE - LUIZ DUARTE;21/09/2026
1067549;197872;KITY SUPERMERCADO;FRANCISCO DUARTE - LUIZ DUARTE;21/09/2026
1067524;197729;KS TWO COMERCIAL E DISTRIBUIDORA;VALTER AMARAL MACHADO;21/09/2026
1067523;197730;KS TWO COMERCIAL E DISTRIBUIDORA;VALTER AMARAL MACHADO;21/09/2026
1067521;197727;SONI SUPERMERCADOS - LJ 06;FLAVIA SIQUEIRA;21/09/2026
1067517;197621;CIBON ALIMENTOS;EDVALDO DOS SANTOS PEREIRA;21/09/2026
1067516;197620;CIBON ALIMENTOS;EDVALDO DOS SANTOS PEREIRA;21/09/2026
1067510;197728;KS TWO COMERCIAL E DISTRIBUIDORA;VALTER AMARAL MACHADO;21/09/2026
1067509;197721;TENNESSEE - VILA NOVA CURUCA;AROLDO BATISTA SANTOS;21/09/2026
1067508;197706;LEVE BEM - PRODUTOS;ROSI SOUSA;21/09/2026
1067504;197625;SABORES DA TERRINHA - LOJA 03;ELTON;21/09/2026
1067500;197819;TAUSTE SUPERMERCADOS - CD;LUCIANE MARQUES;21/09/2026
1067498;197710;SUPERMERCADO FLAMENGO - LJ 01;GABRIEL COSTA RAMALHO;21/09/2026
1067490;197754;JMJ MENDES CARNES;CAROLINA DOS SANTOS ROCHA;21/09/2026
1067489;197756;JMJ MENDES CARNES;CAROLINA DOS SANTOS ROCHA;21/09/2026
1067483;197709;SUPERMERCADO FLAMENGO - LJ 01;GABRIEL COSTA RAMALHO;21/09/2026
1067478;197711;SUPERMERCADO FLAMENGO - LJ 02;GABRIEL COSTA RAMALHO;21/09/2026
1067475;197757;SUPERMERCADO ATIBAIA;RENATO SANTO MICHELMANN;21/09/2026
1067471;197828;IRMAOS SILVA - 02;JOSE RICARDO FERNANDES;21/09/2026
1067468;197836;ACADEMIA AMC;CLAUDIO AKIO SOGA;21/09/2026
1067467;197712;SUPERMERCADO FLAMENGO - LJ 02;GABRIEL COSTA RAMALHO;21/09/2026
1067466;197863;MINI EMPORIO HORA CE;FRANCISCO DUARTE - LUIZ DUARTE;21/09/2026
1067458;197650;ROSELI MARIA DE MORAES - CARDOSO;JOSE GOMES DOS S.;21/09/2026
1067416;197578;ARMAZEM NORDESTINO E PRODUTOS NATURAIS;MARIO MIZUKA;21/09/2026
1067413;197794;TOP DAS OFERTAS - SILVEIRA;FRANCISCO DUARTE - LUIZ DUARTE;21/09/2026
1067409;197178;J E COMERCIO;VENDEDOR INTERNO;21/09/2026
1067402;197619;PARANA SUPERMERCADOS - VILA ROMANOPOLIS;CLAUDIO AKIO SOGA;21/09/2026
1067401;197651;ROSELI MARIA DE MORAES - CARDOSO;JOSE GOMES DOS S.;21/09/2026
1067379;197755;SUPERMERCADO ATIBAIA;RENATO SANTO MICHELMANN;21/09/2026
1067363;197410;SUPERMERCADO IB BRAGION;RENATO SANTO MICHELMANN;21/09/2026
1067355;197618;PARANA SUPERMERCADOS - VILA ROMANOPOLIS;CLAUDIO AKIO SOGA;21/09/2026
1067353;197816;MASTER ATS SUPERMERCADOS - CIDADE SOIMCO;SILVANO ARRUDA;21/09/2026
1067348;197714;MASTER ATS SUPERMERCADOS - GUARULHOS;SILVANO ARRUDA;21/09/2026
1067340;197739;SUPERMERCADOS PARANÁ - PARQUE PRIMAVERA;CLAUDIO AKIO SOGA;21/09/2026
1067333;197677;SUPERMERCADOS PARANÁ - MARIA DIRCE;CLAUDIO AKIO SOGA;21/09/2026
1067328;197681;VIVA LA FRUTA CONSELHEIRO;JOSE SOARES;21/09/2026
1067324;197861;MINI EMPORIO HORA CE;FRANCISCO DUARTE - LUIZ DUARTE;21/09/2026
1067322;197424;SUPERMERCADOS JAU SERVE;DAIANE CRISTINA DE OLIVEIRA;21/09/2026
1067321;197425;SUPERMERCADOS JAU SERVE;DAIANE CRISTINA DE OLIVEIRA;21/09/2026
1067320;197405;COGEB SUPERMERCADOS;DAIANE CRISTINA DE OLIVEIRA;21/09/2026
1067317;197848;SM SP2;JOSE RICARDO FERNANDES;21/09/2026
1067316;197684;SUPERMERCADOS M FARIA E R GRAVINA;JOSE SOARES;21/09/2026
1067315;197683;COLOSSO - JOSE MENINO;JOSE SOARES;21/09/2026
1067312;197678;A D F SOUZA - LJ 01;JOSE SOARES;21/09/2026
1067311;197860;MINI EMPORIO HORA CE;FRANCISCO DUARTE - LUIZ DUARTE;21/09/2026
1067310;197679;VIVA LA FRUTA CONSELHEIRO;JOSE SOARES;21/09/2026
1067308;197849;SM SP2;JOSE RICARDO FERNANDES;21/09/2026
1067307;197430;GP SUPERMERCADO;EDERVAL DONIZETE DA SILVA;21/09/2026
1067306;197850;SM SP2;JOSE RICARDO FERNANDES;21/09/2026
1067305;197829;ROLIM DE FREITAS & CIA;PAULO COSTA;21/09/2026
1067304;197864;SUPERMERCADO ESTANCIA - LOJA 04;PAULO COSTA;21/09/2026
1067299;197865;SUPERMERCADO ESTANCIA - LOJA 04;PAULO COSTA;21/09/2026
1067297;197866;SUPERMERCADO ESTANCIA - LOJA 01;PAULO COSTA;21/09/2026
1067296;197845;SUPERMERCADOS REAL - LOJA 01;PAULO COSTA;21/09/2026
1067294;197851;SUPERMERCADOS REAL - LOJA 02;PAULO COSTA;21/09/2026
1067293;197571;SUPERMERCADOS REAL - LOJA 03;PAULO COSTA;21/09/2026
1067292;197634;SUPERMERCADO FEN;FRANCISCO DUARTE - LUIZ DUARTE;21/09/2026
1067289;197844;SUPERMERCADOS REAL - LOJA 04;PAULO COSTA;21/09/2026
1067288;197623;SUPERMERCADO SANTA CAROLINA;CELSO NUNES TEIXEIRA;21/09/2026
1067284;197393;SUPERMERCADOS TRIDICO LOJO 1 SOLO;MARCELO GREGORIO;21/09/2026
1067283;197395;SUPERMERCADO TRIDICO FILIAL PQ IND;MARCELO GREGORIO;21/09/2026
1067277;197682;COLOSSO - JOSE MENINO;JOSE SOARES;21/09/2026
1067272;197685;SUPERMERCADOS M FARIA E R GRAVINA;JOSE SOARES;21/09/2026
1067254;197760;INTERFRIOS COMERCIO DE FRIOS E LATICINIOS;ROBSON BERTOLINI;21/09/2026
1067198;197652;HORTIFRURTI EM FAMILIA;JOSE GOMES DOS S.;21/09/2026
1067193;197577;M CLOSET COMERCIAL;JOSIAS EVANGELISTA;21/09/2026
1067191;197576;M CLOSET COMERCIAL;JOSIAS EVANGELISTA;21/09/2026
1067184;197655;SUPERHORTIFRUTI SUPERMERCADO;JOSE GOMES DOS S.;21/09/2026
1067183;197653;SUPERHORTIFRUTI SUPERMERCADO;JOSE GOMES DOS S.;21/09/2026
1067182;197696;SUPERMERCADO FRANSUE - VILA SAO JORGE - LJ 05;JOSE SOARES;21/09/2026
1067180;197837;A5 ALIMENTOS;CLAUDIO AKIO SOGA;21/09/2026
1067179;197657;PHARMA NATURE - LJ 01;JOSE GOMES DOS S.;21/09/2026
1067178;197412;SUP MAXIMO - UBATUBA;RAPHAEL COUTINHO ESPINDOLA;21/09/2026
1067177;197411;SUP MAXIMO - UBATUBA;RAPHAEL COUTINHO ESPINDOLA;21/09/2026
1067176;197406;SUP MAXIMO - GUARATINGUETA;RAPHAEL COUTINHO ESPINDOLA;21/09/2026
1067175;197632;VITORIA REGIA;LUCIANO PEREIRA;21/09/2026
1067173;695;DA TERRINHA - FILIAL SP;VENDEDOR INTERNO;21/09/2026
1067172;197407;SUP MAXIMO - GUARATINGUETA;RAPHAEL COUTINHO ESPINDOLA;21/09/2026
1067171;197409;SUP. MAXIMO - LORENA;RAPHAEL COUTINHO ESPINDOLA;21/09/2026
1067170;197408;SUP. MAXIMO - LORENA;RAPHAEL COUTINHO ESPINDOLA;21/09/2026
1067165;197689;SUPERMERCADO FRANSUE - CAMPO GRANDE - LJ 06;JOSE SOARES;21/09/2026
1067161;197399;SUP MAXIMO -  PARQUE DO SOL;RAPHAEL COUTINHO ESPINDOLA;21/09/2026
1067160;197400;SUP MAXIMO -  PARQUE DO SOL;RAPHAEL COUTINHO ESPINDOLA;21/09/2026
1067155;197392;SUPERMERCADOS TRIDICO LOJA 3 BADY BASSIT;MARCELO GREGORIO;21/09/2026
1067154;197780;MERCADAO CARNES - FIRMINOPOLIS;FELIPE GOMES;21/09/2026
1067151;197693;SUPERMERCADO FRANSUE - VILA SAO JORGE - LJ 05;JOSE SOARES;21/09/2026
1067149;197396;SUPERMERCADO TRIDICO FILIAL PQ IND;MARCELO GREGORIO;21/09/2026
1067147;197394;SUPERMERCADOS TRIDICO LOJO 1 SOLO;MARCELO GREGORIO;21/09/2026
1067145;197746;DAVO SUPERMERCADOS - LOJA 28;GILMERIO QUEIROZ - GERENTE DE AREA;21/09/2026
1067143;197765;DAVO SUPERMERCADOS - LOJA 21;GILMERIO QUEIROZ - GERENTE DE AREA;21/09/2026
1067141;197867;DAVO SUPERMERCADOS - LOJA 02;GILMERIO QUEIROZ - GERENTE DE AREA;21/09/2026
1067139;197720;DAVO SUPERMERCADOS - LOJA 05;GILMERIO QUEIROZ - GERENTE DE AREA;21/09/2026
1067137;197719;DAVO SUPERMERCADOS - LOJA 04;GILMERIO QUEIROZ - GERENTE DE AREA;21/09/2026
1067135;197758;DAVO SUPERMERCADOS - LOJA 31;GILMERIO QUEIROZ - GERENTE DE AREA;21/09/2026
1067134;197787;DAVO SUPERMERCADOS - LOJA 06;GILMERIO QUEIROZ - GERENTE DE AREA;21/09/2026
1067129;197515;DUQUE - LJ 02;PAULO SERGIO;21/09/2026
1067128;197403;EMPORIO SAO PEDRO;MARCELO GREGORIO;21/09/2026
1067127;197404;EMPORIO SAO PEDRO;MARCELO GREGORIO;21/09/2026
1067124;197307;MERCADO SANTANA;FRANCISCO ANACLETO;21/09/2026
1067123;197308;MERCADO SANTANA;FRANCISCO ANACLETO;21/09/2026
1067089;197397;PADARIA FLOR DO TRIGO;LUCIANO PEREIRA;21/09/2026
1066989;197834;A5 ALIMENTOS;CLAUDIO AKIO SOGA;21/09/2026
1066924;197630;SUPERMERCADO NOSE;ALEXANDRE VIANA;21/09/2026
1066923;197631;OTIMO SUPERMERCADO;FRANCISCO DUARTE - LUIZ DUARTE;21/09/2026
1066890;197624;SUPERMERCADO SANTA CAROLINA;CELSO NUNES TEIXEIRA;21/09/2026
1066832;197531;CM ATACADO E DISTRIBUICAO;CRISTIAN RIBEIRO BALBINO;20/09/2026
1066827;197626;RIATTO 2;JUAREZ COSTA;20/09/2026
1066826;197627;RIATTO 2;JUAREZ COSTA;20/09/2026
1066825;197628;ACOUGUE SUPER RIATO;JUAREZ COSTA;20/09/2026
1066824;197629;ACOUGUE SUPER RIATO;JUAREZ COSTA;20/09/2026
1066800;197788;DISTRIBUIDORA CONTINENTAL;EDVALDO DOS SANTOS PEREIRA;18/09/2026
1066799;197609;MERCADO BARRETO;ERICK MOREIRA;18/09/2026
1066798;197789;DISTRIBUIDORA CONTINENTAL;EDVALDO DOS SANTOS PEREIRA;18/09/2026
1066797;197279;FORT - CD COMPER;ROBERTO CARLOS SANTANA;18/09/2026
1066796;197697;MERCADO BOM PRECO;RONILSON RIBEIRO;18/09/2026
1066793;197612;MERCADO BARRETO;ERICK MOREIRA;18/09/2026
1066792;197611;MERCADO BARRETO;ERICK MOREIRA;18/09/2026
1066765;197805;BOLOGNANI E MARTINS - JOBEL;JOSE GOMES DOS S.;18/09/2026
1066763;197352;MERCADO E PADARIA DA FAZENDA - 01;AROLDO BATISTA SANTOS;18/09/2026
1066762;197353;MERCADO E PADARIA DA FAZENDA - 01;AROLDO BATISTA SANTOS;18/09/2026
1066761;197633;J. RONDAN GIMENES FREIRE;FRANCISCO DUARTE - LUIZ DUARTE;18/09/2026
1066760;197687;JP STORE LTDA;FRANCISCO DUARTE - LUIZ DUARTE;18/09/2026
1066759;197341;YUXIN MERCADOS;FRANCISCO DUARTE - LUIZ DUARTE;18/09/2026
1066758;197742;BARBOSA - 01;RODOLFO QUERINO LUIZ - GERENTE DE AREA;18/09/2026
1066750;197707;BARBOSA - 31;RODOLFO QUERINO LUIZ - GERENTE DE AREA;18/09/2026
1066742;197713;BARBOSA - 43;RODOLFO QUERINO LUIZ - GERENTE DE AREA;18/09/2026
1066733;197759;BARBOSA - 38;RODOLFO QUERINO LUIZ - GERENTE DE AREA;18/09/2026
1066731;197818;BARBOSA - 03;RODOLFO QUERINO LUIZ - GERENTE DE AREA;18/09/2026
1066728;197663;BARBOSA - 40;RODOLFO QUERINO LUIZ - GERENTE DE AREA;18/09/2026
1066727;197773;BARBOSA - 35;RODOLFO QUERINO LUIZ - GERENTE DE AREA;18/09/2026
1066726;197431;GP SUPERMERCADO;EDERVAL DONIZETE DA SILVA;18/09/2026
1066725;197804;BOLOGNANI E MARTINS - JOBEL;JOSE GOMES DOS S.;18/09/2026
1066694;197422;CEMA VILLEFORT - CD;CAMILA CUNHA DE FREITAS;18/09/2026
1066692;197337;YUXIN MERCADOS;FRANCISCO DUARTE - LUIZ DUARTE;18/09/2026
1066668;197398;COGEB SUPERMERCADOS;DAIANE CRISTINA DE OLIVEIRA;18/09/2026
1066667;197288;COGEB SUPERMERCADOS;DAIANE CRISTINA DE OLIVEIRA;18/09/2026
1066664;197291;SUPERMERCADO FERRACINI;DAIANE CRISTINA DE OLIVEIRA;18/09/2026
1066663;197293;FERRACINI E LENHARO;DAIANE CRISTINA DE OLIVEIRA;18/09/2026
1066662;197380;MERCADO SANTA  ETELVINA;AROLDO BATISTA SANTOS;18/09/2026
1066661;197680;JP STORE LTDA;FRANCISCO DUARTE - LUIZ DUARTE;18/09/2026
1066660;197351;MERCADO COMBATE;AROLDO BATISTA SANTOS;18/09/2026
1066659;197103;J. RONDAN GIMENES FREIRE;FRANCISCO DUARTE - LUIZ DUARTE;18/09/2026
1066654;197640;SUPERMERCADOS PINHEIRAO - LOJA 02;ROGERIO APARECIDO DA SILVA RODRIGUES;18/09/2026
1066653;197637;SUPERMERCADOS PINHEIRAO - LOJA 03;ROGERIO APARECIDO DA SILVA RODRIGUES;18/09/2026
1066652;197646;SUPERMERCADO PANEMA - 02;ROGERIO APARECIDO DA SILVA RODRIGUES;18/09/2026
1066651;197164;ALCANCE PLUS COMERCIO VAREJISTA;JOSE ARTENCIO;18/09/2026
1066649;197354;MERCADO E PADARIA DA FAZENDA - 01;AROLDO BATISTA SANTOS;18/09/2026
1066648;197355;MERCADO E PADARIA DA FAZENDA - 01;AROLDO BATISTA SANTOS;18/09/2026
1066647;197423;CM ATACADO E DISTRIBUICAO;CRISTIAN RIBEIRO BALBINO;18/09/2026
1066646;197705;PRM SERVICOS E MAO DE OBRA;EDMILSON NUNES;18/09/2026
1066645;197401;SUPERMERCADO BENEDONI;VALTER AMARAL MACHADO;18/09/2026
1066644;197522;HORT FRUTI ORIENTE;VALTER AMARAL MACHADO;18/09/2026
1066643;197647;SUPERMERCADO PANEMA - 02;ROGERIO APARECIDO DA SILVA RODRIGUES;18/09/2026
1066640;197521;HORT FRUTI ORIENTE;VALTER AMARAL MACHADO;18/09/2026
1066639;197595;JOANIN  - MATRIZ;ALENCAR SILVA;18/09/2026
1066637;197402;SUPERMERCADO BENEDONI;VALTER AMARAL MACHADO;18/09/2026
1066636;196698;ALCANCE PLUS COMERCIO VAREJISTA;JOSE ARTENCIO;18/09/2026
1066635;197839;DISTRIBUIDORA BICA DE PEDRA;DAIANE CRISTINA DE OLIVEIRA;18/09/2026
1066634;197147;COMERCIAL TATENO - KLABIN;SILVANO ARRUDA;18/09/2026
1066633;197152;COMERCIAL TATENO - KLABIN;SILVANO ARRUDA;18/09/2026
1066632;197842;COMERCIO DE OVOS;KELVIN;18/09/2026
1066631;197306;CASA DO NORTE IPANEMA;FRANCISCO ANACLETO;18/09/2026
1066630;197270;MAX VILA;WAGNER DA SILVA LIMA;18/09/2026
1066598;197271;MAX VILA;WAGNER DA SILVA LIMA;18/09/2026
1066595;197151;PADARIA CHARME;INES MARTIN;18/09/2026
1066594;197514;DUQUE - LJ 02;PAULO SERGIO;18/09/2026
1066592;197268;FOX CARNES - VILA OLINDA;WAGNER DA SILVA LIMA;18/09/2026
1066591;197017;ROLDAO - JANDIRA;CAIO VINICIUS AMORIM;18/09/2026
1066589;197016;ROLDAO - JANDIRA;CAIO VINICIUS AMORIM;18/09/2026
1066588;197018;ROLDAO - JANDIRA;CAIO VINICIUS AMORIM;18/09/2026
1066587;196682;J E COMERCIO;VENDEDOR INTERNO;18/09/2026
1066586;197206;BOM LUGAR - IV;PAULO COSTA;18/09/2026
1066585;197015;ROLDAO - JANDIRA;CAIO VINICIUS AMORIM;18/09/2026
1066582;197014;ROLDAO - JANDIRA;CAIO VINICIUS AMORIM;18/09/2026
1066580;197013;ROLDAO - JANDIRA;CAIO VINICIUS AMORIM;18/09/2026
1066572;196710;SOU CESTAS;CARLOS FERREIRA;18/09/2026
1066569;197388;NAGUMO - AGUA CHATA CD;JAMIR RIBEIRO;18/09/2026
1066567;197377;MERCADO SILVA;JOSE ROBERTO DENIZIO;18/09/2026
1066566;197691;MERCADINHO NIPPO - 02;JOSE ROBERTO DENIZIO;18/09/2026
1066565;197381;MERCADO PAG MAIS BARATO;JOSE ROBERTO DENIZIO;18/09/2026
1066564;196756;CAPS;PAULO SERGIO;18/09/2026
1066563;196755;CAPS;PAULO SERGIO;18/09/2026
1066562;197497;BENGALA - 06;JOSE ROBERTO DENIZIO;18/09/2026
1066561;197774;DUQUE - LJ 03;FLAVIA SIQUEIRA;18/09/2026
1066560;197149;COMERCIAL TATENO - KLABIN;SILVANO ARRUDA;18/09/2026
1066534;197695;PANIFICADORA NOSSA SENHORA DAS GRACAS;RONILSON RIBEIRO;18/09/2026
1066533;197638;SUPERMERCADOS PINHEIRAO - LOJA 03;ROGERIO APARECIDO DA SILVA RODRIGUES;18/09/2026
1066532;197841;HM HM SUPERMERCADOS - EMPORIUM SP AFONSO BRAZ;SILVANO ARRUDA;18/09/2026
1066531;197821;AKKI - 04;LEANDRO GOLDINHO LOPES;18/09/2026
1066530;197371;MMM SUPERMERCADO;CARLOS FERREIRA;18/09/2026
1066529;197373;MMM SUPERMERCADO;CARLOS FERREIRA;18/09/2026
1066528;197165;RECANTO DA BENCAO;TELEVENDAS - DA TERRINHA;18/09/2026
1066526;197427;SUPERMERCADOS JAU SERVE;DAIANE CRISTINA DE OLIVEIRA;18/09/2026
1066525;197426;SUPERMERCADOS JAU SERVE;DAIANE CRISTINA DE OLIVEIRA;18/09/2026
1066524;197639;SUPERMERCADOS PINHEIRAO - LOJA 02;ROGERIO APARECIDO DA SILVA RODRIGUES;18/09/2026
1066522;197382;MERCADO PAG MAIS BARATO;JOSE ROBERTO DENIZIO;18/09/2026
1066519;197636;SUPERMERCADOS PINHEIRAO - LOJA 01;ROGERIO APARECIDO DA SILVA RODRIGUES;18/09/2026
1066517;694;DA TERRINHA - FILIAL SP;VENDEDOR INTERNO;18/09/2026
1066513;197847;WOR GENEROS ALIMENTICIOS;JOSE RICARDO FERNANDES;18/09/2026
1066512;197846;WOR GENEROS ALIMENTICIOS;JOSE RICARDO FERNANDES;18/09/2026
1066511;197635;SUPERMERCADOS PINHEIRAO - LOJA 01;ROGERIO APARECIDO DA SILVA RODRIGUES;18/09/2026
1066509;197304;JEFFERSON LUCAS SUPERMERCADO;MARCELO GREGORIO;18/09/2026
1066506;197325;DISCAMP - VALINHOS;OSNEY RICARDO;18/09/2026
1066505;197286;SUPERMERCADO ANTONIO DE SOUZA;EDERVAL DONIZETE DA SILVA;18/09/2026
1066504;197290;JEFFERSON LUCAS SUPERMERCADO;MARCELO GREGORIO;18/09/2026
1066500;197317;DISCAMP - PAULINEA;OSNEY RICARDO;18/09/2026
1066498;197332;FENG LIN;JOSE ROBERTO DENIZIO;18/09/2026
1066462;197369;SUPERMERCADO SAKAY - 01;CARLOS FERREIRA;18/09/2026
1066461;197686;MERCADINHO NIPPO - 02;JOSE ROBERTO DENIZIO;18/09/2026
1066455;197289;SUPERMERCADO PELLEGRINI;EDERVAL DONIZETE DA SILVA;18/09/2026
1066454;197287;SUPERMERCADO PELLEGRINI;EDERVAL DONIZETE DA SILVA;18/09/2026
1066453;197666;MPTD SUPERMERCADO;JUAREZ COSTA;18/09/2026
1066451;197592;REDE ALIANCA - PORTAL SUPERMERCADO;PAULO COSTA;18/09/2026
1066450;197570;VILELA SUPERMERCADOS;PAULO COSTA;18/09/2026
1066449;197489;NOVO LUCAS;JUAREZ COSTA;18/09/2026
1066447;196917;HORTI-FRUTI FAZENDA;FLAVIA SIQUEIRA;18/09/2026
1066446;197246;SONI SUPERMERCADOS - LJ 02;FLAVIA SIQUEIRA;18/09/2026
1066445;197101;JAQUELIME BARBOSA - MINIMERCADO;JUAREZ COSTA;18/09/2026
1066444;197420;SAO JOAO SUPERMERCADOS - DONA FLORIANA;EDERVAL DONIZETE DA SILVA;18/09/2026
1066439;197324;DISCAMP - VALINHOS;OSNEY RICARDO;18/09/2026
1066438;197323;DISCAMP - VALINHOS;OSNEY RICARDO;18/09/2026
1066437;197441;OFELIA SARRI MORETE - HORTOLANDIA;CELSO NUNES TEIXEIRA;18/09/2026
1066436;197385;MERCADO SILVA;JOSE ROBERTO DENIZIO;18/09/2026
1066435;197148;CASA DE CARNES CRISTALIA;ALEXANDRE VIANA;18/09/2026
1066434;197440;OFELIA SARRI MORETE - HORTOLANDIA;CELSO NUNES TEIXEIRA;18/09/2026
1066433;197312;MERCADO JM - 01;CELSO NUNES TEIXEIRA;18/09/2026
1066432;197643;DONNA MARIA SUPERMERCADOS - CAMPOS DE HOLAMBRA;ROGERIO APARECIDO DA SILVA RODRIGUES;18/09/2026
1066431;197644;DONNA MARIA SUPERMERCADOS - CAMPOS DE HOLAMBRA;ROGERIO APARECIDO DA SILVA RODRIGUES;18/09/2026
1066430;197513;MASSAKY MERCADO;JOSE ROBERTO DENIZIO;18/09/2026
1066429;196771;COFESA - 08;DANILO DE ALMEIDA SANTOS;18/09/2026
1066428;197285;REDE AMIZADE;DANILO DE ALMEIDA SANTOS;18/09/2026
1066427;197305;REDE AMIZADE;DANILO DE ALMEIDA SANTOS;18/09/2026
1066426;197102;JAQUELIME BARBOSA - MINIMERCADO;JUAREZ COSTA;18/09/2026
1066425;197483;LUCAS DO SEL;JUAREZ COSTA;18/09/2026
1066424;197737;POLI SUPERMERCADO;CLAUDIO AKIO SOGA;18/09/2026
1066423;197736;POLI SUPERMERCADO;CLAUDIO AKIO SOGA;18/09/2026
1066421;197752;DA GENTE - LJ 04;CLAUDIO AKIO SOGA;18/09/2026
1066420;197797;DANTAS;JUAREZ COSTA;18/09/2026
1066418;197485;LUCAS DO SEL;JUAREZ COSTA;18/09/2026
1066417;197798;DANTAS;JUAREZ COSTA;18/09/2026
1066416;197481;MERCADO NOVA ALIANCA;JUAREZ COSTA;18/09/2026
1066415;197507;MERCADO ROSA DE SARON - VILA MATILDE;JOSE ROBERTO DENIZIO;18/09/2026
1066414;196754;MERCADO ROSA DE SARON - VILA CARRAO;JOSE ROBERTO DENIZIO;18/09/2026
1066413;197490;REDE MLLY;JUAREZ COSTA;18/09/2026
1066412;197799;DANTAS;JUAREZ COSTA;18/09/2026
1066410;197494;MERCADO TRES IRMAOS;JUAREZ COSTA;18/09/2026
1066409;197493;MERCADO TRES IRMAOS;JUAREZ COSTA;18/09/2026
1066408;197486;LUCAS DO SEL;JUAREZ COSTA;18/09/2026
1066407;197482;MERCADO NOVA ALIANCA;JUAREZ COSTA;18/09/2026
1066406;197491;REDE MLLY;JUAREZ COSTA;18/09/2026
1066405;197492;REDE MLLY;JUAREZ COSTA;18/09/2026
1066403;197665;MPTD SUPERMERCADO;JUAREZ COSTA;18/09/2026
1066402;196918;HORTI-FRUTI FAZENDA;FLAVIA SIQUEIRA;18/09/2026
1066401;197245;SONI SUPERMERCADOS - LJ 03;FLAVIA SIQUEIRA;18/09/2026
1066400;197488;NOVO LUCAS;JUAREZ COSTA;18/09/2026
1066399;197243;SONI SUPERMERCADOS - LJ 05;FLAVIA SIQUEIRA;18/09/2026
1066398;197769;SONI SUPERMERCADOS - LJ 07;FLAVIA SIQUEIRA;18/09/2026
1066397;197641;DONNA MARIA SUPERMERCADOS - CAMPOS DE HOLAMBRA;ROGERIO APARECIDO DA SILVA RODRIGUES;18/09/2026
1066395;197223;FORT - CD COMPER;ROBERTO CARLOS SANTANA;18/09/2026
1066362;197642;DONNA MARIA SUPERMERCADOS - CAMPOS DE HOLAMBRA;ROGERIO APARECIDO DA SILVA RODRIGUES;18/09/2026
1066332;197372;NOSSO EMPÓRIO;CARLOS FERREIRA;18/09/2026
1066330;197364;SUPERMERCADO SAKAY - 01;CARLOS FERREIRA;18/09/2026
1066329;197327;SUPER CITY VINTAGE;CARLOS FERREIRA;18/09/2026
1066296;197645;SUPERMERCADO PANEMA - 02;ROGERIO APARECIDO DA SILVA RODRIGUES;18/09/2026
1066263;197648;SUPERMERCADO PANEMA - 02;ROGERIO APARECIDO DA SILVA RODRIGUES;18/09/2026
1066230;197078;DA GENTE - LJ 06;CLAUDIO AKIO SOGA;18/09/2026
1066197;197753;DA GENTE - LJ 04;CLAUDIO AKIO SOGA;18/09/2026
1066195;197383;DA GENTE - LJ 03;CLAUDIO AKIO SOGA;18/09/2026
1066194;197079;DA GENTE - LJ 02;CLAUDIO AKIO SOGA;17/09/2026
1066193;197725;DA GENTE - LJ 01;CLAUDIO AKIO SOGA;17/09/2026
1066192;40657;ASSAI  - CD PACIENCIA;JOSE AUGUSTO;17/09/2026
1066191;40658;ASSAI  - CD PACIENCIA;JOSE AUGUSTO;17/09/2026
1066190;197738;POLI SUPERMERCADO;CLAUDIO AKIO SOGA;17/09/2026
1066189;196772;COFESA - 08;DANILO DE ALMEIDA SANTOS;17/09/2026
1066188;197315;MERCADO JM - 01;CELSO NUNES TEIXEIRA;17/09/2026
1066187;196773;COFESA - 10;DANILO DE ALMEIDA SANTOS;17/09/2026
1066186;197442;SUPERMERCADO MORETE LOJA 4;CELSO NUNES TEIXEIRA;17/09/2026
1066185;196753;MERCADO ROSA DE SARON - VILA CARRAO;JOSE ROBERTO DENIZIO;17/09/2026
1066184;197443;SUPERMERCADO MORETE LOJA 3;CELSO NUNES TEIXEIRA;17/09/2026
